"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
0.3054309,"x",NA,242.88,1751.765,"y",NA,262.88,"auto"
0.5133748,"x",NA,338.794117647059,3675.75,"y",NA,132.049019607843,"auto"
0.4639566,"x",NA,316,1444.603,"y",NA,283.766990291262,"auto"
0.4644618,"x",NA,316.233009708738,2588.235,"y",NA,206,"auto"
0.3792231,"x",NA,276.916666666667,2581.291,"y",NA,206.472222222222,"auto"
0.1453637,"x",NA,169.049019607843,1041.09,"y",NA,311.205882352941,"auto"
0.4378341,"x",NA,303.950980392157,3364.619,"y",NA,153.205882352941,"auto"
0.588039,"x",NA,373.233009708738,3764.706,"y",NA,126,"auto"
0.3880759,"x",NA,281,1426.471,"y",NA,285,"auto"
0.5118064,"x",NA,338.070707070707,3413.102,"y",NA,149.909090909091,"auto"
0.48578,"x",NA,326.066037735849,2719.34,"y",NA,197.084905660377,"auto"
0.3510707,"x",NA,263.93137254902,3268.599,"y",NA,159.735294117647,"auto"
0.316935,"x",NA,248.186274509804,2455.45,"y",NA,215.029411764706,"auto"
0.4511243,"x",NA,310.081081081081,3581.081,"y",NA,138.486486486486,"auto"
0.496477,"x",NA,331,1473.235,"y",NA,281.82,"auto"
0.3795932,"x",NA,277.087378640777,2118.646,"y",NA,237.932038834951,"auto"
0.4854836,"x",NA,325.929292929293,1204.545,"y",NA,300.090909090909,"auto"
0.3743089,"x",NA,274.65,1192.5,"y",NA,300.91,"auto"
0.3650863,"x",NA,270.39603960396,2428.218,"y",NA,216.881188118812,"auto"
0.3504968,"x",NA,263.666666666667,1542.632,"y",NA,277.10101010101,"auto"
0.395664,"x",NA,284.5,3351.499,"y",NA,154.098039215686,"auto"
0.3560922,"x",NA,266.247524752475,2753.64,"y",NA,194.752475247525,"auto"
0.2808213,"x",NA,231.528846153846,2530.402,"y",NA,209.932692307692,"auto"
0.4172916,"x",NA,294.47572815534,3927.184,"y",NA,114.95145631068,"auto"
0.4824682,"x",NA,324.538461538462,3443.722,"y",NA,147.826923076923,"auto"
0.3494593,"x",NA,263.188118811881,933.4595,"y",NA,318.524752475248,"auto"
0.3899463,"x",NA,281.862745098039,3156.719,"y",NA,167.343137254902,"auto"
0.4937019,"x",NA,329.72,4454.118,"y",NA,79.12,"auto"
0.4564821,"x",NA,312.552380952381,3774.51,"y",NA,125.333333333333,"auto"
0.2726181,"x",NA,227.745098039216,2146.338,"y",NA,236.049019607843,"auto"
0.3371274,"x",NA,257.5,2310.265,"y",NA,224.901960784314,"auto"
0.1946686,"x",NA,191.790909090909,2549.599,"y",NA,208.627272727273,"auto"
0.5685011,"x",NA,364.221153846154,2665.724,"y",NA,200.730769230769,"auto"
0.5101376,"x",NA,337.300970873786,1642.776,"y",NA,270.291262135922,"auto"
0.3093333,"x",NA,244.68,1355.294,"y",NA,289.84,"auto"
0.4160217,"x",NA,293.89,2576.029,"y",NA,206.83,"auto"
0.4867634,"x",NA,326.519607843137,3793.829,"y",NA,124.019607843137,"auto"
0.4432675,"x",NA,306.457142857143,3058.403,"y",NA,174.028571428571,"auto"
0.4877155,"x",NA,326.958762886598,3099.909,"y",NA,171.20618556701,"auto"
0.4865933,"x",NA,326.441176470588,1791.378,"y",NA,260.186274509804,"auto"
0.3464829,"x",NA,261.815217391304,771.899,"y",NA,329.510869565217,"auto"
0.4607046,"x",NA,314.5,4165.882,"y",NA,98.72,"auto"
0.3838292,"x",NA,279.041237113402,1956.337,"y",NA,248.969072164948,"auto"
0.502374,"x",NA,333.72,2493.529,"y",NA,212.44,"auto"
0.3568082,"x",NA,266.577777777778,2974.02,"y",NA,179.766666666667,"auto"
0.3019422,"x",NA,241.270833333333,2628.37,"y",NA,203.270833333333,"auto"
0.5979213,"x",NA,377.791208791209,2978.345,"y",NA,179.472527472527,"auto"
0.3955482,"x",NA,284.446601941748,3630.782,"y",NA,135.106796116505,"auto"
0.462963,"x",NA,315.541666666667,2782.782,"y",NA,192.770833333333,"auto"
0.4381488,"x",NA,304.096153846154,1904.412,"y",NA,252.5,"auto"
0.4563795,"x",NA,312.505050505051,2195.039,"y",NA,232.737373737374,"auto"
0.3401488,"x",NA,258.893617021277,3117.96,"y",NA,169.978723404255,"auto"
0.3866538,"x",NA,280.344086021505,2988.773,"y",NA,178.763440860215,"auto"
0.2674574,"x",NA,225.364705882353,2400.519,"y",NA,218.764705882353,"auto"
0.3266654,"x",NA,252.674418604651,1700.068,"y",NA,266.395348837209,"auto"
0.4551103,"x",NA,311.919642857143,3933.298,"y",NA,114.535714285714,"auto"
0.3858574,"x",NA,279.976744186047,2268.981,"y",NA,227.709302325581,"auto"
0.4845645,"x",NA,325.505376344086,3602.151,"y",NA,137.05376344086,"auto"
0.2755176,"x",NA,229.082474226804,1976.804,"y",NA,247.577319587629,"auto"
0.5953812,"x",NA,376.619565217391,3612.692,"y",NA,136.336956521739,"auto"
0.3911111,"x",NA,282.4,2408.64,"y",NA,218.2125,"auto"
0.4163367,"x",NA,294.035294117647,2257.785,"y",NA,228.470588235294,"auto"
0.3920018,"x",NA,282.810810810811,2860.692,"y",NA,187.472972972973,"auto"
0.4842471,"x",NA,325.358974358974,2126.131,"y",NA,237.423076923077,"auto"
0.4754592,"x",NA,321.305555555556,2267.361,"y",NA,227.819444444444,"auto"
0.5968985,"x",NA,377.319444444444,3118.668,"y",NA,169.930555555556,"auto"
0.4830352,"x",NA,324.8,2957.143,"y",NA,180.914285714286,"auto"
0.4116311,"x",NA,291.864864864865,2764.706,"y",NA,194,"auto"
0.3283767,"x",NA,253.463768115942,853.1543,"y",NA,323.985507246377,"auto"
0.4360935,"x",NA,303.148148148148,2228.94,"y",NA,230.432098765432,"auto"
0.582525,"x",NA,370.689655172414,3513.692,"y",NA,143.068965517241,"auto"
0.3202102,"x",NA,249.69696969697,1569.296,"y",NA,275.287878787879,"auto"
0.2142005,"x",NA,200.8,2597.059,"y",NA,205.4,"auto"
0.4222883,"x",NA,296.780487804878,3180.416,"y",NA,165.731707317073,"auto"
0.3709219,"x",NA,273.087719298246,2865.841,"y",NA,187.122807017544,"auto"
0.4049602,"x",NA,288.787878787879,3061.052,"y",NA,173.848484848485,"auto"
0.3945799,"x",NA,284,3500,"y",NA,144,"auto"
0.5073171,"x",NA,336,3838.235,"y",NA,121,"auto"
0.1902706,"x",NA,189.762295081967,1828.954,"y",NA,257.631147540984,"cluster"
0.4339,"x",NA,302.136363636364,2745.544,"y",NA,195.30303030303,"cluster"
0.2485697,"x",NA,216.652777777778,1907.475,"y",NA,252.291666666667,"cluster"
0.3265282,"x",NA,252.611111111111,2896.446,"y",NA,185.041666666667,"cluster"
0.410779,"x",NA,291.471830985916,1982.394,"y",NA,247.197183098592,"cluster"
